Student,M1L1,M1L2,M1L3,M1L4,M2L1,M2L2,M2L3,M2L4,M3L1,M3L2,M3L3,M3L4
Benchmark,188,237,206,130,225,225,225,116,298,266,266,186
MA1:1_CJ,188,237,206,130,225,225,225,116,298,0,0,0
MA21_001,188,237,158,130,225,225,96,0,0,0,0,0
MA21_002,188,237,30,60,96,108,108,0,0,0,0,0
MA21_003,188,237,88,110,91,71,60,0,0,0,0,0
MA21_004,72,75,54,120,42,93,108,0,0,0,0,0
MA21_005,188,237,76,130,155,155,96,0,0,0,0,0
MA21_006,188,237,206,130,225,225,225,0,0,0,0,0
MA37_001,160,151,70,0,0,0,0,0,0,0,0,0
MA37_002,111,81,60,0,0,0,0,0,0,0,0,0
MA37_003,188,223,55,0,0,0,0,0,0,0,0,0
MA37_004,70,60,40,0,0,0,0,0,0,0,0,0
MA37_005,150,108,45,0,0,0,0,0,0,0,0,0
MA37_006,183,180,60,0,0,0,0,0,0,0,0,0
